Title,Date,Link,Description,Bill_Number
"Estimated Budgetary Effects of H.R. 7776, the James M. Inhofe National Defense Authorization Act for Fiscal Year 2023 (Public Law 117-263)","Fri, 20 Jan 2023 11:29:00 -0500",https://www.cbo.gov/publication/58520,"As Enacted on December 23, 2022
",H.R. 7776
"CBO Estimate for Divisions O Through MM of H.R. 2617, the Consolidated Appropriations Act, 2023, Enacted as Public Law 117-328 on December 29, 2022","Thu, 12 Jan 2023 17:06:00 -0500",https://www.cbo.gov/publication/58901,"Public Law 117-328 as enacted on December 29, 2022
",H.R. 2617
"S. 601, Prohibiting Punishment of Acquitted Conduct Act of 2021","Thu, 22 Dec 2022 15:00:09 -0500",https://www.cbo.gov/publication/58875,"As reported by the Senate Committee on the Judiciary on July 12, 2021
",S. 601
"H.R. 267, 2020 WHIP+ Reauthorization Act","Thu, 22 Dec 2022 12:20:00 -0500",https://www.cbo.gov/publication/58874,"As reported by the House Committee on Agriculture on September 20, 2021
",H.R. 267
"Legislation considered under suspension of the Rules of the House of Representatives during the week of December 19, 2022","Wed, 21 Dec 2022 14:12:00 -0500",https://www.cbo.gov/publication/58868,"The Majority Leader of the House of Representatives announces bills that will be considered under suspension of the rules in that chamber. CBO estimates the effects of those bills on direct spending and revenues.
",
"CBO Estimate for Divisions A through N of H.R. 2617 (as modified by S.A. 6552), the Consolidated Appropriations Act, 2023","Wed, 21 Dec 2022 11:55:00 -0500",https://www.cbo.gov/publication/58872,,H.R. 2617
"H.R. 604, Rebuild America’s Schools Act of 2022","Wed, 14 Dec 2022 15:51:00 -0500",https://www.cbo.gov/publication/58865,"As ordered reported by the House Committee on Education and Labor on May 18, 2022
",H.R. 604
"Estimated Discretionary Appropriations Under Division A of the Further Continuing Appropriations and Extensions Act, 2023 (Rules Committee Print 117-72, the House Amendment to the Senate Amendment to H.R. 1437)","Wed, 14 Dec 2022 13:15:00 -0500",https://www.cbo.gov/publication/58866,"As posted on the Rules Committee Website (https://rules.house.gov/bill/117/hr-1437-sa)
",H.R. 1437
"Estimated Pay-As-You-Go Effects of H.R. 5715, a bill to reauthorize the Morris K. Udall and Stewart L. Udall Trust Fund, and for other purposes","Mon, 12 Dec 2022 14:29:00 -0500",https://www.cbo.gov/publication/58859,"As posted on the website of the Clerk of the House on December 9, 2022
",H.R. 5715
"Legislation considered under suspension of the Rules of the House of Representatives during the week of December 12, 2022","Mon, 12 Dec 2022 09:35:00 -0500",https://www.cbo.gov/publication/58857,"The Majority Leader of the House of Representatives announces bills that will be considered under suspension of the rules in that chamber. CBO estimates the effects of those bills on direct spending and revenues.
",
"H.R. 3686, Ski Hill Resources for Economic Development Act","Fri, 09 Dec 2022 14:17:00 -0500",https://www.cbo.gov/publication/58856,"As ordered reported by the House Committee on Natural Resources on July 13, 2022
",H.R. 3686
"H.R. 6273, VA Zero Suicide Demonstration Project Act of 2021","Wed, 07 Dec 2022 16:18:00 -0500",https://www.cbo.gov/publication/58845,"As ordered reported by the House Committee on Veterans’ Affairs on September 21, 2022
",H.R. 6273
"Estimated Pay-As-You-Go Effects of H.R. 3648, the Equal Access to Green Cards for Legal Employment Act of 2022","Mon, 05 Dec 2022 15:08:00 -0500",https://www.cbo.gov/publication/58852,"As reported by the House Committee on the Judiciary on June 7, 2022
",H.R. 3648
